City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Camana,PE,-16.6228,-72.7111,73.98,73,36,10.94,scattered clouds
333,Kalispell,US,48.1958,-114.3129,51.49,68,0,0.0,clear sky
334,Beyla,GN,8.6833,-8.6333,95.02,25,19,8.39,few clouds
335,Pecos,US,31.4229,-103.4932,81.3,11,0,0.0,clear sky
336,Mayo,US,38.8876,-76.5119,40.12,43,75,18.99,broken clouds
337,Thai Binh,VN,20.45,106.3333,68.27,76,94,5.48,overcast clouds
338,Touros,BR,-5.1989,-35.4608,86.74,64,60,14.43,broken clouds
339,Puerto Rico,AR,-26.796,-55.024,89.96,26,0,1.92,clear sky
340,Sobolevo,RU,54.4299,31.8996,45.27,68,100,21.25,overcast clouds
341,Poum,NC,-20.2333,164.0167,80.62,79,100,21.34,overcast clouds
342,Kualakapuas,ID,-3.0091,114.3876,76.14,87,91,1.88,overcast clouds
343,Ikom,NG,5.9667,8.7063,102.16,18,45,5.1,scattered clouds
344,Constantine,DZ,36.365,6.6147,67.41,45,40,3.44,scattered clouds
345,Rawlins,US,41.7911,-107.2387,57.34,21,0,13.8,clear sky
346,Trelew,AR,-43.249,-65.3051,72.55,19,11,20.94,few clouds
