City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Acapulco,MX,2022-03-27 17:52:31,16.8634,-99.8901,86.14,36,69,8.97
178,Marystown,CA,2022-03-27 17:54:47,47.1666,-55.1483,40.86,100,100,8.99
179,Moussoro,TD,2022-03-27 17:55:47,13.6408,16.4901,82.8,7,37,13.91
180,Korsakovo,RU,2022-03-27 17:55:47,53.2677,37.3569,22.55,71,99,18.95
181,Sorland,NO,2022-03-27 17:55:48,67.667,12.6934,39.06,78,98,26.24
182,Tiznit,MA,2022-03-27 17:55:48,29.5833,-9.5,79.95,16,92,11.5
183,Tessalit,ML,2022-03-27 17:55:48,20.1986,1.0114,93.74,8,72,8.34
184,Sechura,PE,2022-03-27 17:55:49,-5.5569,-80.8222,83.71,53,100,9.53
185,Wewak,PG,2022-03-27 17:55:49,-3.5534,143.6268,79.05,83,98,7.45
186,Kaeo,NZ,2022-03-27 17:55:49,-35.1,173.7833,56.32,92,5,4.52
187,Straumen,NO,2022-03-27 17:55:50,63.8709,11.2999,44.6,92,100,26.31
188,Innisfail,AU,2022-03-27 17:55:50,-17.5333,146.0333,72.36,91,49,3.69
189,Nikolskoye,RU,2022-03-27 17:55:51,59.7035,30.7861,26.8,84,91,4.36
190,Ajdabiya,LY,2022-03-27 17:55:51,30.7554,20.2263,68.0,16,4,12.57
191,Hasaki,JP,2022-03-27 17:55:51,35.7333,140.8333,50.29,65,100,11.14
192,Kafanchan,NG,2022-03-27 17:55:52,9.5833,8.3,85.41,11,7,6.98
193,Soure,BR,2022-03-27 17:55:52,-0.7167,-48.5233,81.5,79,99,10.96
194,Falavarjan,IR,2022-03-27 17:55:52,32.5553,51.5097,52.81,14,0,11.88
195,Baft,IR,2022-03-27 17:55:53,29.234,56.6057,53.37,14,0,2.77
196,Huarmey,PE,2022-03-27 17:55:53,-10.0681,-78.1522,76.53,70,81,11.63
197,Rawson,AR,2022-03-27 17:55:53,-43.3002,-65.1023,68.97,24,0,22.03
198,Ponta Do Sol,PT,2022-03-27 17:55:54,32.6667,-17.1,63.72,78,65,6.76
199,Sundsvall,SE,2022-03-27 17:55:54,62.3913,17.3063,33.76,93,100,3.44
200,Hilo,US,2022-03-27 17:55:54,19.7297,-155.09,71.62,91,69,1.01
201,Dawei,MM,2022-03-27 17:55:55,14.0833,98.2,77.27,90,8,1.54
202,Drovyanaya,RU,2022-03-27 17:55:55,51.5833,113.0333,15.44,90,32,2.77
203,Mudon,MM,2022-03-27 17:55:55,16.2578,97.7164,79.48,79,23,4.34
